Word,Rank,Frequency
dismall,1539,5
spoken,1540,5
Anon,1541,5
bare,1542,5
Sweet,1543,5
diuell,1544,5
Snow,1545,5
Slaue,1546,5
leaues,1547,5
blesse,1548,5
broad,1549,5
ene,1550,5
New,1551,5
Owle,1552,5
broke,1553,5
bore,1554,5
got,1555,5
Graces,1556,5
ones,1557,5
Alexander,1558,5
Osricke,1559,5
Foyles,1560,5
Drinke,1561,5
Title,1562,5
Water,1563,5
powre,1564,5
Hostesse,1565,5
horror,1566,5
Porter,1567,5
Len,1568,5
Cauldron,1569,5
Ment,1570,5
wood,1571,5
Cob,1572,4
soules,1573,4
Truly,1574,4
recouer,1575,4
Triumph,1576,4
brings,1577,4
stones,1578,4
Pompey,1579,4
Battlements,1580,4
sate,1581,4
shout,1582,4
Flowers,1583,4
houses,1584,4
Images,1585,4
Ceremonies,1586,4
driue,1587,4
pluckt,1588,4
wing,1589,4
holy,1590,4
Ceremony,1591,4
desires,1592,4
obserue,1593,4
wont,1594,4
Ouer,1595,4
number,1596,4
Story,1597,4
fed,1598,4
Flood,1599,4
yonder,1600,4
Point,1601,4
aside,1602,4
Speeches,1603,4
feeble,1604,4
Palme,1605,4
huge,1606,4
peepe,1607,4
Fates,1608,4
Yours,1609,4
feede,1610,4
ayme,1611,4
heereafter,1612,4
intreat,1613,4
Plucke,1614,4
spot,1615,4
Lookes,1616,4
fiery,1617,4
Conference,1618,4
Quite,1619,4
Whiles,1620,4
fear,1621,4
alwayes,1622,4
ope,1623,4
stab,1624,4
blunt,1625,4
Schoole,1626,4
execution,1627,4
puts,1628,4
Wit,1629,4
likes,1630,4
Hands,1631,4
Cic,1632,4
destruction,1633,4
slaue,1634,4
Torches,1635,4
sensible,1636,4
Women,1637,4
yesterday,1638,4
Naturall,1639,4
want,1640,4
Ghosts,1641,4
Beasts,1642,4
Fooles,1643,4
personall,1644,4
action,1645,4
spirits,1646,4
Therein,1647,4
yee,1648,4
serues,1649,4
led,1650,4
answere,1651,4
arm,1652,4
indifferent,1653,4
walking,1654,4
Worke,1655,4
winne,1656,4
parts,1657,4
lighted,1658,4
graunt,1659,4
abuse,1660,4
Greatnesse,1661,4
dis,1662,4
Taper,1663,4
seal,1664,4
Giues,1665,4
c,1666,4
slept,1667,4
Betweene,1668,4
rous,1669,4
Conspirators,1670,4
Season,1671,4
Stands,1672,4
Oath,1673,4
Tyranny,1674,4
Cowards,1675,4
women,1676,4
pricke,1677,4
Honesty,1678,4
causes,1679,4
rul,1680,4
alas,1681,4
hew,1682,4
Hearts,1683,4
acte,1684,4
Rage,1685,4
Treb,1686,4
Clocke,1687,4
doubtfull,1688,4
Fantasie,1689,4
Dreames,1690,4
eight,1691,4
faile,1692,4
fresh,1693,4
Constancie,1694,4
drawes,1695,4
armes,1696,4
ask,1697,4
embrace,1698,4
Morning,1699,4
sixe,1700,4
seuen,1701,4
faces,1702,4
Selfe,1703,4
honourable,1704,4
Husbands,1705,4
bow,1706,4
Thrice,1707,4
Battell,1708,4
dying,1709,4
taste,1710,4
Cannot,1711,4
priuate,1712,4
pure,1713,4
Breake,1714,4
Loe,1715,4
affraid,1716,4
Cynna,1717,4
prepare,1718,4
trust,1719,4
defend,1720,4
doest,1721,4
Mountaine,1722,4
counsell,1723,4
Prythee,1724,4
humble,1725,4
Sirra,1726,4
constant,1727,4
quality,1728,4
Low,1729,4
painted,1730,4
shine,1731,4
abide,1732,4
deede,1733,4
amaz,1734,4
yeares,1735,4
wash,1736,4
vnknowne,1737,4
Soft,1738,4
Valiant,1739,4
vouchsafe,1740,4
safely,1741,4
deseru,1742,4
whil,1743,4
apt,1744,4
pittifull,1745,4
points,1746,4
beside,1747,4
Coarse,1748,4
tearmes,1749,4
Forrest,1750,4
Rites,1751,4
aduantage,1752,4
whereto,1753,4
Prepare,1754,4
liued,1755,4
familiar,1756,4
Buriall,1757,4
serue,1758,4
safety,1759,4
